sync_id;product;price;product_date;store;store_type;code1;libellé_COICOP1
7013;Dejeuner ;15;45459;Food Truck;Restauration rapide, café, bar;11.1.1.2;Restaurants, cafés et autres – à service limité 
8552;Diagnostique;40;45468;Reparateur electromenager;Ajout utilisateur;05.3.3.0;Réparation, installation et location d'appareils électroménagers
8664;Dieteticien;80;45468;Pommera;Ajout utilisateur;06.2.3;Autres services de soins ambulatoires 
6819;Dîner;80;45461;Restaurant;Restauration classique;11.1.1.1;Restaurants, cafés et autres – avec service complet
7627;Dîner;80;45463;Resto;Restauration classique;11.1.1.1;Restaurants, cafés et autres – avec service complet
753;Divers;126;45432;Lidl;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
756;Divers;70;45432;Intermarché;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
1587;Divers;46;45428;Amazon;Achat par internet, téléphone, correspondance;98.1.4;Autres courses
1628;Divers;300;45439;Divers;Ajout utilisateur;98.2;Divers
9151;Divers;93.36;2024-06-29;Lidl;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
5577;Don;20;45453;Don;Autres services, don;99.1;Cadeaux
6088;Don;10;45458;Front populaire;Ajout utilisateur;99.1;Cadeaux
5562;Don ;20;45453;Unicef;Ajout utilisateur;99.1;Cadeaux
6200;Don à parti politique ;200;45459;Don à parti politique ;Ajout utilisateur;99.1;Cadeaux
7621;Don clown hôpitaux;8;45462;Auchan;Grande et petite surface alimentaire;99.1;Cadeaux
4314;Don msf;13.97;45448;Association;Autres services, don;99.1;Cadeaux
4183;Donburi poulet ;14.1;45449;Ikki shushi;Ajout utilisateur;11.1.1.2;Restaurants, cafés et autres – à service limité
3442;Dons;40;45448;Médecin sans frontières ;Ajout utilisateur;99.1;Cadeaux
4667;Du pains ;4.7;45451;Leader Price;Grande et petite surface alimentaire;01.1.1.3.1;Pain
3870;Eau de coco;4;45431;Capes legumes;Ajout utilisateur;01.2.9.0.0;Autres boissons non alcoolisées
3881;Eau de coco;4;45435;Zeste citron;Ajout utilisateur;01.2.9.0.0;Autres boissons non alcoolisées
4136;Eau de coco;4;45449;Baguet Shop;Restauration rapide, café, bar;11.1.1.2;Restaurants, cafés et autres – à service limité
5148;Eau plate ;2;45453;Boulangerie;Commerce de détail alimentaire;11.1.1.2;Restaurants, cafés et autres – à service limité
5256;Eauforce;59;45454;Facture Eau;Autres services, don;04.4.1.1;Approvisionnement en eau par des systèmes de réseau
6694;Échéance de crédit;592.23;45461;Banque;Organismes financiers;99.2;Opération bancaire (retrait, virement, prélèvement)
9247;Échéance prêt maison;526.53;45472;Banque;Organismes financiers;99.2;Opération bancaire (retrait, virement, prélèvement)
5140;Embrayage butée souffleur de cardan roulement ;325;45453;Auto quick;Ajout utilisateur;07.2.1;Pièces et accessoires pour matériel de transport personnel 
6230;Emmental tranche ;3.9;45458;Lidl;Grande et petite surface alimentaire;01.1.4.5.0;Fromage
4061;Engie;264.8;45449;Engie;Services publics, services autoroutes, transport, télécommunication;04.5;ÉLECTRICITÉ, GAZ ET AUTRES COMBUSTIBLES
1433;Entrée  plats et désert  ;23.9;45438;Restaurant;Restauration classique;11.1.1;Restaurants, cafés et autres
9700;Entretien adoucisseur ;16,8899993896484;2024-07-02;Culligan entretien;Ajout utilisateur;05.6.1.1;Produits de nettoyage et d’entretien ménagers (ND)
3747;Entretien véhicule ;59;45448;Midas;Services pour l’automobile et motocycles;07.2.3.0;Entretien et réparation de matériel de transport personnel
8913;Épargne enfant;125;45470;Banque;Organismes financiers;99.2;Opération bancaire (retrait, virement, prélèvement)
4822;Epicerie;61.88;45448;Aldi;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
9854;Epicerie;13;2024-06-29;Epicerie;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
88;Épicerie ;16.31;45426;Match;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
3422;Epicerie bio;69.4;45448;Koro;Ajout utilisateur;98.1.2;Courses en supermarché
5223;Ergothérapeute ;45;45454;Santé ;Ajout utilisateur;06.2.3.1;Services curatifs et de réadaptation ambulatoires
6834;Evaneos;197.5;45459;Agence voyage;Services de loisirs, soins, animaux;09.8.0.0;Forfaits vacances (S)
9580;Extension cils;54;2024-06-20;Arômes nomades;Ajout utilisateur;13.1.3.2;Soins de beauté corporels (S)
159;Film;58;45428;Bowling;Services de loisirs, soins, animaux;09.6.1.0;Services fournis par les cinémas, théâtres et salles de concert
6425;Financiers;4.3;45459;Boulanger;Commerce de détail alimentaire;01.1.1.3.9.3;Biscuits et gâteaux
7775;Fleur;42;45465;Fleuriste;Autres magasins spécialisés;09.3.1.2;Plantes, graines et fleurs
8720;Fleurs;9.36;45468;Jardin des fleurs;Ajout utilisateur;09.3.1.2;Plantes, graines et fleurs
4737;Fleurs ;26.95;45452;Jardiland;Aménagement de l’habitat;09.3.1.2;Plantes, graines et fleurs
8027;Forfait;14.98;45460;Téléphonie;Equipement du foyer;08.3.2.0;Services de communications mobiles 
8031;Forfait;51.98;45460;Téléphonie;Equipement du foyer;08.3.2.0;Services de communications mobiles 
9712;Formule;19,5;2024-07-04;Bibimcup;Ajout utilisateur;11.1.1.1;Restaurants, cafés et établissements similaires — service complet (S)
5510;Formule dejeuné;24;45455;Boulangerie;Commerce de détail alimentaire;11.1.1.2;Restaurants, cafés et autres – à service limité
3677;Formule dejeuner;19.4;45448;Boulanger;Commerce de détail alimentaire;11.1.1.2;Restaurants, cafés et autres – à service limité
4263;Fourniture gaz;157;45450;Total energie;Ajout utilisateur;04.5.2.1;Gaz naturel par réseaux
7649;Fournitures ;34.76;45465;Noz;Grande et petite surface alimentaire;09.7.4.0;Papeterie et matériel de dessin
2792;Foyer college;10;45444;Ecole;Services publics, services autoroutes, transport, télécommunication;11.2.0.3;Services d'hébergement des internats, universités et autres établissements d'enseignement
1075;Française des jeux;3;45435;Bar tabac;Restauration rapide, café, bar;09.4.7;Jeux de hasard
1072;Frites;3;45435;Distributeur;Marché, vente à domicile, automate;11.1.1.2;Restaurants, cafés et autres – à service limité
8081;Frites;5.5;45466;Pny;Ajout utilisateur;11.1.1.2;Restaurants, cafés et autres – à service limité
8398;Frites;5.5;45466;Friterie;Restauration rapide, café, bar;11.1.1.2;Restaurants, cafés et autres – à service limité
5990;Fruit et légumes ;64;45457;Ferme;Marché, vente à domicile, automate;98.1.1;Courses alimentaires
6866;Fruits;35;45459;Marché;Marché, vente à domicile, automate;01.1.6;Fruits et noix 
907;Fruits et légumes ;4.34;45430;Auchan;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
4734;Fruits et légumes ;18.91;45451;Benebono;Ajout utilisateur;98.1.1;Courses alimentaires
5550;Fruits et légumes ;11;45455;Marché;Marché, vente à domicile, automate;98.1.1;Courses alimentaires
8313;Fruits et légumes ;50.35;45466;Le verger de chatenay ;Ajout utilisateur;98.1.1;Courses alimentaires
6097;Fruits légumes ;29.4;45456;Auchan;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
7931;Galette complète ;8.99;45465;Flunch;Restauration rapide, café, bar;11.1.1.2;Restaurants, cafés et autres – à service limité
4843;Gant ;4.9;45452;Bricorama;Aménagement de l’habitat;05.6.1.9;Autres biens ménagers non durables
4980;Garantie voiture;28;45453;Credipar;Ajout utilisateur;12.1.9.0;Autre assurance
2381;Gasoil;60.31;45443;Station Carrefour;Autres magasins spécialisés;07.2.2.1;Gazole 
3498;Gasoil;50;45447;Total;Autres magasins spécialisés;07.2.2.1;Gazole
7706;Gasoil;50;45465;Leclerc Essence;Autres magasins spécialisés;07.2.2.1;Gazole
5142;Gasoil ;80;45453;Station total ;Ajout utilisateur;07.2.2.1;Gazole (ND)
6817;Gazon artificiel;22;45454;Manomano;Ajout utilisateur;04.3.1.1;Matériaux pour l'entretien et la réparation du logement 
9697;Gel nettoyant ;1,49000000953674;2024-07-02;Lidl;Grande et petite surface alimentaire;05.6.1.1;Produits de nettoyage et d’entretien ménagers (ND)
3855;Ginger beer;7;45447;Monop;Grande et petite surface alimentaire;02.1.3.0;Bière
4211;Goûter ;11.1;45449;Yogourt factory;Ajout utilisateur;11.1.1.2;Restaurants, cafés et autres – à service limité
9571;Habits enfants;28;2024-06-17;Boutique vêtements;Habillement, chaussure maroquinerie;03.1.2;Vêtements (SD)
8094;Haloumi;9;45466;Le passage a niveau;Ajout utilisateur;11.1.1.2;Restaurants, cafés et autres – à service limité
8081;Hamburger;14;45466;Pny;Ajout utilisateur;11.1.1.2;Restaurants, cafés et autres – à service limité
3288;Hamburger ;8.1;45446;Mc Do;Restauration rapide, café, bar;11.1.1.2;Restaurants, cafés et autres – à service limité
6452;High tech;39.99;45453;Amazon;Achat par internet, téléphone, correspondance;08.1.9;Autres équipements et accessoires d'information et de communication
5237;Housse téléphone ;19;45454;Intersport;Sports et loisirs;08.1.9.2;Autres accessoires d'information et de communication
5062;Implant dentaire;794.15;45454;Dentiste;Services de santé;06.2.2.9;Autres services dentaires ambulatoires
5110;Implant dentaire;794.15;45454;Dentiste;Services de santé;06.2.2.9;Autres services dentaires ambulatoires
6257;Impresssion;2.16;45457;Buro pro;Ajout utilisateur;13.9.0.9;Autres services nca
4248;Interet;2.35;45449;Banque;Organismes financiers;99.2;Opération bancaire (retrait, virement, prélèvement)
8918;Intermarché;20;45470;Intermarché;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
9372;Intermarche ;26;45473;Leclerc;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
8120;Jalapenos;4.5;45465;Otacos;Ajout utilisateur;11.1.1.2;Restaurants, cafés et autres – à service limité
9640;Jambon;2,59999990463257;2024-07-01;Leclerc;Grande et petite surface alimentaire;01.1.2.3.2;Viandes de porc, coupées, salées, séchées ou fumées (bacon et jambon)
4195;Jambon uf lait jus fromage yop ;44.9;45449;Leclerc;Grande et petite surface alimentaire;98.1.1;Courses alimentaires
4504;Je nai pas trouvé ;183;45451;Leclerc;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
4519;Je nai pas trouvé ;24;45451;Association école;Autres services, don;10;Services de l'enseignement
4517;Je nai pas trouvé ;5.5;45451;Association école;Autres services, don;10;Services de l'enseignement
4650;Je sais pas;17.98;45451;Claire S;Autres magasins spécialisés;13.2.1.1;Bijoux et montres
4131;Journal ;2.5;45445;Tabac journaux;Tabac, presse;09.7.2.1;Journaux 
5980;Jus de pomme;6;45457;Super U;Grande et petite surface alimentaire;01.2.1.0.0;Jus de fruits et de légumes
6542;Jus de pomme ;3.5;45460;Distributeur;Marché, vente à domicile, automate;01.2.1.0.0;Jus de fruits et de légumes
3855;Jus de pomme ;4;45447;Monop;Grande et petite surface alimentaire;01.2.1.0.0;Jus de fruits et de légumes
7780;Jus dorange;2.6;45465;Carrefour Contact;Grande et petite surface alimentaire;01.2.1.0.0;Jus de fruits et de légumes
9676;Kfc;17,8999996185303;2024-07-02;KFC;Restauration rapide, café, bar;11.1.1.2;Restaurants, cafés et établissements similaires — service limité (S)
8361;Kinesiologue;70;45468;Docteur;Services de santé;06.2.3;Autres services de soins ambulatoires
6876;Kinésithérapie;70;45461;Kiné;Services de santé;06.2.3;Autres services de soins ambulatoires 
1241;Kit natation fille;17;45436;Decathlon;Sports et loisirs;09.2.2.1;Équipement pour le sport
3588;Lambris bois;103.4;45447;Leroy Merlin;Aménagement de l’habitat;04.3.1.1;Matériaux pour l'entretien et la réparation du logement
2959;Legumes et fromage;71.09;45443;Miyam;Ajout utilisateur;98.1.1;Courses alimentaires
7153;Licence;70;45462;Club foot;Services de loisirs, soins, animaux;09.4.6.2;Prestations sportives - practice 
1155;Lidl;50;45433;Lidl;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
5887;Lidl;59.58;45454;Lidl;Grande et petite surface alimentaire;98.1.2;Courses en supermarché
4396;Liniment;10.5;45450;Pharmacie;Biens et produits personnels, puériculture;06.1.1.1;Médicaments, vaccins et autres préparations pharmaceutiques
3460;Litière ;5;45447;Match;Grande et petite surface alimentaire;09.3.2.2;Produits pour animaux de compagnie et autres animaux domestiques
6994;Livres;25;45456;Fnac;Sports et loisirs;09.7.1;Livres
6923;Location instrument de musique ;47;45460;Magasin instrument musique;Ajout utilisateur;09.6.1.0;Autres services culturels
6230;Lutti arlequin ;1.75;45458;Lidl;Grande et petite surface alimentaire;01.1.8.9;Autres sucreries et desserts nca
71;Mabi;11.9;45414;Epicerie;Grande et petite surface alimentaire;02.1.1.0;Spiritueux et liqueurs (ND)
