libelle;code;url;description;comprend;ne_comprend_pas
Autres produits de boulangerie;01.1.1.3.9;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.1.3.9;;tortillas injera pâtes à pizza sans garniture, précuite ou non pain d’épices et assimilés gaufres et crêpes cornets à glace;
Céréales pour petit-déjeuner (ND);01.1.1.4;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.1.4;;flocons de céréales, flocons d’avoine, muesli, granola et céréales soufflées y compris galettes de riz soufflé céréales pour petit déjeuner contenant des fruits secs ou fuits séchés;popcorn (1.1.1.9)
Céréales pour petit déjeuner;01.1.1.4.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.1.4.1;;flocons de céréales, flocons d’avoine, muesli, granola et céréales soufflées y compris galettes de riz soufflé céréales pour petit déjeuner contenant des fruits secs ou fuits séchés;popcorn (1.1.1.9)
Macaronis, nouilles, couscous et pâtes alimentaires similaires (ND);01.1.1.5;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.1.5;;pâtes alimentaires non cuites, farcies ou non, et couscous boulettes, raviolis et produits similaires non cuits;boulgour ( 01.1.1.1 plats préparés à base de pâtes ou de couscous ( 01.1.9.1
Macaroni, nouilles, couscous et pâtes alimentaires similaires;01.1.1.5.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.1.5.1;;pâtes alimentaires non cuites, farcies ou non, et couscous boulettes, raviolis et produits similaires non cuits;boulgour ( 01.1.1.1 plats préparés à base de pâtes ou de couscous ( 01.1.9.1
Autres produits à base de céréales et de minoterie (ND);01.1.1.9;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.1.9;;mélanges et pâtes pour la préparation de produits de boulangerie pop-corn barre de céréales malt et extrait de malt amidons et fécules de céréales seitan et autres substituts de viande fabriqués à partir de céréales;"viande et hamburgers de soja, hamburgers végétariens, tofu, tempeh et autres substituts de viande à base de légumes et de fruits à coque ; et fécule de pomme de terre, tapioca, sagou et autres amidons ( 01.1.7.9 plats préparés à base de céréales, tels que soupes à base de céréales ( 01.1.9.1"
Autres produits céréaliers et de minoterie;01.1.1.9.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.1.9.1;;mélanges et pâtes pour la préparation de produits de boulangerie pop-corn barre de céréales malt et extrait de malt amidons et fécules de céréales seitan et autres substituts de viande fabriqués à partir de céréales;"viande et hamburgers de soja, hamburgers végétariens, tofu, tempeh et autres substituts de viande à base de légumes et de fruits à coque ; et fécule de pomme de terre, tapioca, sagou et autres amidons ( 01.1.7.9 plats préparés à base de céréales, tels que soupes à base de céréales ( 01.1.9.1"
Animaux vivants, viandes et autres parties d’animaux terrestres abattus (ND);01.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.1.2;;;
Animaux terrestres vivants (ND);01.1.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.2.1;Animaux terrestres vivants, domestiques ou sauvages, destinés à l'alimentation humaine.;"bovins (vache, veau; bœuf, zébu; watussi, gaur, gayal, banteng et yak) buffles (buffles d’eau ou d’Inde ; buffles arnis ou d’Asie ; buffles pigmés, ou Celebes ; buffles d’Afrique tels que les buffles nains et les grands buffles Caffer ; bisons d’Amérique ; bisons d’Europe ; et beefalos (croisement entre un bison d’Amérique et un bovin domestique) porcs —chèvres, agneaux et moutons volaille (poulets, canards, oies, dindes et pintades) lièvres et lapins chevaux, ânes et autres équidés chameaux, dromadiares, alpagas, lamas, guanacos, vigognes et autres camélidés autruches, émeus, nandous, faisans, tétras, pigeons, cailles et autres oiseaux serpents et autres reptiles araignées, scorpions, insectes et verres escargots terrestres grenouilles";poissons vivants ( 01.1.3.1 autres produits de la mer vivants ( 01.1.3.4 animaux vivants destinés au transport ( 07.1.4.0 animaux vivants achetés pour les loisirs ( 09.1.2.4
Animal bovin, vivant;01.1.2.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.1.1;Bovins et buffles vivants destinés à l'alimentation humaine;"bovins (vache, veau; bœuf, zébu; watussi, gaur, gayal, banteng et yak) buffles (buffles d’eau ou d’Inde ; buffles arnis ou d’Asie ; buffles pigmés, ou Celebes ; buffles d’Afrique tels que les buffles nains et les grands buffles Caffer ; bisons d’Amérique ; bisons d’Europe ; et beefalos (croisement entre un bison d’Amérique et un bovin domestique)";
Porcs, vivants;01.1.2.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.1.2;Porcs vivants destinées à l'alimentation humaine;porcs;
Chèvres, agneaux et moutons,vivants;01.1.2.1.3;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.1.3;Chèvres, agneaux et moutons vivants destinés à l'alimentation humaine;—chèvres, agneaux et moutons;
Volailles, vivantes;01.1.2.1.4;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.1.4;Poulets, canards, oies, dindes et pintades vivants destinés à l'alimentation humaine;volaille (poulets, canards, oies, dindes et pintades);
Lièvres et lapins, vivants;01.1.2.1.5;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.1.5;Lièvres et lapins vivants destinés à l'alimentation humaine;lièvres et lapins;
Autres animaux vivants;01.1.2.1.9;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.1.9;Autres animaux n.c.a. vivants destinés à l'alimentation humaine;chevaux, ânes et autres équidés chameaux, dromadaires, alpagas, lamas, guanacos, vigognes et autres camélidés autruches, émeus, nandous, faisans, tétras, pigeons, cailles et autres oiseaux serpents et autres reptiles araignées, scorpions, insectes et verres escargots terrestres grenouilles autres animaux n.c.a.;poissons vivants ( 01.1.3.1 autres produits de la mer vivants ( 01.1.3.4 animaux vivants destinés au transport ( 07.1.4.0 animaux vivants achetés pour les loisirs ( 09.1.2.4
Viande, fraîche, réfrigérée ou surgelée (ND);01.1.2.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.2.2;Viandes de tous les animaux, domestiques et sauvages, fraîches, réfrigérées ou surgelées.;"viandes bovine (vaches ; veaux ; bœuf, zébu ; watussi ; gaur ; gayal, banteng et yak) viandes de buffles (buffles d’eau ou d’Inde ; buffles arnis ou d’Asie ; buffles pigmés, ou Celebes ; buffles d’Afrique tels que les buffles nains et les grands buffles Caffer ; bisons d’Amérique ; bisons d’Europe ; et beefalos (croisement entre un bison d’Amérique et un bovin domestique) viandes de porcs viandes de chèvres, agneaux et moutons viandes de volaille (poulets, canards, oies, dindes et pintades) viandes de lièvres et lapins viandes de chevaux, ânes et autres équidés viandes de chameaux, dromadaires, alpagas, lamas, guanacos, vigognes et autres camélidés viandes d’antilopes, cerfs, sangliers et kangourous viandes d’autruches, émeus, nandous, faisans, tétras, pigeons, cailles et autres oiseaux viandes de serpents et autres reptiles araignées, scorpions, insectes et verres (non-vivants) escargots terrestres grenouilles viande hachée des animaux listés précédemments viandes de phoques, morses, baleines et autres animaux marins";
Viande d’animaux bovins, fraîche, réfrigérée ou congelée;01.1.2.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.2.1;Viande de bœuf et de buffle, fraîche, réfrigérée ou congelée.;"Viande fraîche, réfrigérée ou congelée de : bovins : vache, veau, bœuf commun, zébu ou bœuf à bosse, watusi, gaur, gayal, banteng, yack buffle (buffles d’eau ou d’Inde ; buffles arnis ou d’Asie ; buffles pigmés, ou Celebes ; buffles d’Afrique tels que les buffles nains et les grands buffles Caffer ; bisons d’Amérique ; bisons d’Europe ; et beefalos (croisement entre un bison d’Amérique et un bovin domestique)";
Viande de porcs, fraîche, réfrigérée ou congelée;01.1.2.2.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.2.2;Viande de porc, fraîche, réfrigérée ou congelée;Viande fraîche, réfrigérée ou congelée de : viandes de porcs;
Viande de chèvres, fraîche, réfrigérée ou congelée;01.1.2.2.3;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.2.3;Viande de chèvre, d’agneau et de mouton, fraîche, réfrigérée ou congelée.;Viande fraîche, réfrigérée ou congelée de : viandes de chèvres, agneaux et moutons;
Viande de volaille, fraîche, réfrigérée ou congelée;01.1.2.2.4;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.2.4;Viande de poulet, de canard, d’oie, de dinde et de pintade, fraîche, réfrigérée ou congelée.;Viande fraîche, réfrigérée ou congelée de : viandes de volaille (poulets, canards, oies, dindes et pintades);
Viande de lièvres et de lapins, fraîche, réfrigérée ou congelée;01.1.2.2.5;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.2.5;Viande de lièvre et de lapin, fraîche, réfrigérée ou congelée.;Viande fraîche, réfrigérée ou congelée de : viandes de lièvres et lapins;
Viande de chevaux et d’autres équidés, fraîche, réfrigérée ou congelée;01.1.2.2.6;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.2.6;Viande de cheval, d’âne et d’autres équidés, fraîche, réfrigérée ou congelée.;Viande fraîche, réfrigérée ou congelée de : viandes de chevaux, ânes et autres équidés;
Viande de chameaux et de camélidés, fraîche, réfrigérée ou congelée;01.1.2.2.7;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.2.7;Viande de chameau, de dromadaire, d’alpaga, de lama, de guanaco, de vigogne et autres camélidés, fraîche, réfrigérée ou congelée.;Viande fraîche, réfrigérée ou congelée de : viandes de chameaux, dromadaires, alpagas, lamas, guanacos, vigognes et autres camélidés;
Autres viandes, fraîche, réfrigérée ou congelée;01.1.2.2.9;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.2.9;Autres viandes, fraîches, réfrigérées ou congelées, n.c.a.;Viande fraîche, réfrigérée ou congelée de : viandes de phoques, morses, baleines et autres animaux marins viandes d’antilopes, cerfs, sangliers et kangourous viandes d’autruches, émeus, nandous, faisans, tétras, pigeons, cailles et autres oiseaux viandes de serpents et autres reptiles araignées, scorpions, insectes et verres (non-vivants) escargots terrestres grenouilles, fraîches, réfrigérées ou congelées;
Viande, séchée, salée, en saumure ou fumée (ND);01.1.2.3;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.2.3;Viandes de tous les animaux, séchées, salées, en saumure ou fumées.;viande, de tous les animaux listés en 01.1.2.2, domestiques ou sauvages, séchée, salée, en saumure ou fumée bacon, jambon et saucisson;pâté ( 01.1.2.5
Viande bovine salée, séchée ou fumée;01.1.2.3.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.3.1;Viande de bœuf et de buffle salée, séchée ou fumée;"Viande salée, séchée ou fumée de : bovins : vache, veau, bœuf commun, zébu ou bœuf à bosse, watusi, gaur, gayal, banteng, yack buffle (buffles d’eau ou d’Inde ; buffles arnis ou d’Asie ; buffles pigmés, ou Celebes ; buffles d’Afrique tels que les buffles nains et les grands buffles Caffer ; bisons d’Amérique ; bisons d’Europe ; et beefalos (croisement entre un bison d’Amérique et un bovin domestique)";
Viande de porcs, coupes, salées, séchées ou fumées (jambon ou bacon);01.1.2.3.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.3.2;Viande de porc, découpée, salée, séchée ou fumée.;lard, jambon et salami;
Autres viandes séchées ou fumée;01.1.2.3.9;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.3.9;Autres viandes, séchées, salées ou fumées, n.c.a.;viandes de phoques, morses, baleines et autres animaux marins viandes d’antilopes, cerfs, sangliers et kangourous viandes d’autruches, émeus, nandous, faisans, tétras, pigeons, cailles et autres oiseaux viandes de serpents et autres reptiles araignées, scorpions, insectes et verres (non-vivants) escargots terrestres grenouilles, séchées, salées ou fumées;
Abats, sang et autres parties d’animaux abattus, frais, réfrigérés ou surgelés, séchés, salés, en saumure ou fumés (ND);01.1.2.4;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.2.4;salés, en saumure ou fumés (ND) Abats, sang et autres parties d'animaux abattus, frais, réfrigérés ou congelés, séchés, salés, en saumure ou fumés.;têtes, queues et pieds de cochons, et pattes de poulets;préparations à base d’abats, sang et autres parties d'animaux abattus ( 01.1.2.5
Abats, sang et autres parties d’animaux abattus frais, réfrigérés ou congelés , séchés, salés, en saumure ou fumés;01.1.2.4.0;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.4.0;salés, en saumure ou fumés (ND) salés, en saumure ou fumés Abats, sang et autres parties d'animaux abattus, frais, réfrigérés ou congelés, séchés, salés, en saumure ou fumés.;têtes, queues et pieds de cochons, et pattes de poulets;préparations à base d’abats, sang et autres parties d'animaux abattus ( 01.1.2.5
Préparations à base de viande, d’abats, de sang ou d’autres parties d’animaux abattus (ND);01.1.2.5;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.2.5;Préparations à base de viande, d'abats ou de sang, surgelées ou non.;saucisses et produits similaires à base de viandes, d’abats ou de sang viande marinée viande en conserve, extraits de viandes et jus de viandes viande hachée, mélange de différents types de viandes pâté y compris le foie gras viande panée autres péparations à base de viande, d’abats et de sang;
Saucisses et produits similaires à base de viande, abats ou sang;01.1.2.5.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.5.1;;saucisses et produits similaires à base de viandes, d’abats ou de sang;
Viande en conserve;01.1.2.5.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.5.2;Viande de tous types d’animaux, généralement précuite et conservée en boîte.;viande en conserve;
Pâté y compris le foie gras;01.1.2.5.3;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.5.3;Pâté de toutes sortes, y compris le pâté de foie.;pâté y compris le foie gras;
Autres préparations à base de viande, abats ou sang non classés ailleurs;01.1.2.5.9;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.2.5.9;;viande marinée extraits de viandes et jus de viandes viande hachée, mélange de différents types de viandes viande panée autres préparations à base de viande, d’abats et de sang;
Poisson et autres fruits de mer (ND);01.1.3;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.1.3;Poissons et autres fruits de mer (tels que crustacés, mollusques et autres invertébrés aquatiques), récoltés ou élevés, dans les eaux douces et marines, entiers ou en morceaux (par exemple, découpes, filets et viande, hachée ou non), y compris foies, laitances, nageoires, gueules, farines et autres abats.;tortues aquatiques autres animaux et invertébrés aquatiques comestibles, tels que bêches de mers, oursins, ascidies et méduses;mammifères marins, grenouilles et escargots terrestres (01.1.2.1, 01.1.2.2, 01.1.2.3) algues marines et autres plantes aquatiques ( 01.1.7.4
Poisson, vivant, frais, réfrigéré ou surgelé (ND);01.1.3.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.3.1;Poissons vivants, frais, réfrigérés ou surgelés.;poissons vivants achetés pour l’alimentation poissons frais, réfrigérés ou surgelés filets et viandes de poisson, hachés ou non, frais, réfrigérés ou surgelés;farines, foies, œufs, nageoires, mâchoires et autres abats ( 01.1.3.7
Poisson vivant ou frais;01.1.3.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.3.1.1;;poissons vivants achetés pour l’alimentation poissons frais filets et viandes de poisson, hachés ou non, frais;
Poisson congelé ou surgelé;01.1.3.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.3.1.2;;poissons congelés ou surgelés filets et viandes de poisson, hachés ou non, congelés ou surgelés;
Poisson, séché, salé, en saumure ou fumé (ND);01.1.3.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.3.2;Poissons séchés, salés, en saumure ou fumés.;filets et viandes de poisson, séchés, salés, en saumure ou fumés;foies, œufs, nageoires et autres abats préparés ou conservés ( 01.1.3.7
Poisson séché, salé, en saumure ou fumé;01.1.3.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.3.2.1;Poissons séchés, salés, en saumure ou fumés.;filets et viandes de poisson, séchés, salés, en saumure ou fumés;foies, œufs, nageoires et autres abats préparés ou conservés ( 01.1.3.7
Préparations à base de poisson (ND);01.1.3.3;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.3.3;Produits alimentaires préparés à base de poisson, surgelé ou non.;filets recouverts uniquement de pâte à frire ou de chapelure, surgelés ou non poisson en conserve surimi et autres simili-crabes;"caviar et ses succédanés, ailerons de requin préparés et conservés ; foies, œufs, ailerons et autres abats ( 01.1.3.7"
Préparations à base de poisson;01.1.3.3.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.3.3.1;Produits alimentaires préparés à base de poisson, surgelé ou non.;filets recouverts uniquement de pâte à frire ou de chapelure, surgelés ou non poisson en conserve surimi et autres simili-crabes;"caviar et ses succédanés, ailerons de requin préparés et conservés ; foies, œufs, ailerons et autres abats ( 01.1.3.7"
Autres fruits de mer, vivants, frais, réfrigérés ou surgelés (ND);01.1.3.4;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.3.4;;"crabes, homards, écrevisses, krill, araignée de mer, crevettes, gambas et autres crustacés, vivants, frais, réfrigérés ou surgelés seiches ; calmars ; pieuvres ; escargots de mer ; ormeaux ; et bivalves, tel qu’huîtres, coquilles Saint-Jacques, moules, palourdes, coques, coquillages et autres mollusques, vivants, frais, réfrigérés ou surgelés oursins, bêches-de-mer (concombres de mer), méduses et autres invertébrés aquatiques, vivants, frais, réfrigérés ou surgelés";mollusques terrestres, y compris les escargots terrestres, vivants, frais, réfrigérés ou congelés (01.1.2.1, 01.1.2.2, 01.1.2.3) algues marines et autres plantes aquatiques comestibles ( 01.1.7.4
Fruits de mer vivants ou frais;01.1.3.4.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.3.4.1;;"crabes, homards, écrevisses, krill, araignée de mer, crevettes, gambas et autres crustacés, vivants, frais seiches ; calmars ; pieuvres ; escargots de mer ; ormeaux ; et bivalves, tel qu’huîtres, coquilles Saint-Jacques, moules, palourdes, coques, coquillages et autres mollusques, vivants, frais oursins, bêches-de-mer (concombres de mer), méduses et autres invertébrés aquatiques, vivants, frais";
Fruits de mer congelés ou surgelés;01.1.3.4.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.3.4.2;;"crabes, homards, écrevisses, krill, araignée de mer, crevettes, gambas et autres crustacés, réfrigérés ou surgelés seiches ; calmars ; pieuvres ; escargots de mer ; ormeaux ; et bivalves, tel qu’huîtres, coquilles Saint-Jacques, moules, palourdes, coques, coquillages et autres mollusques, réfrigérés ou surgelés oursins, bêches-de-mer (concombres de mer), méduses et autres invertébrés aquatiques, réfrigérés ou surgelés";
Autres fruits de mer, séchés, salés, en saumure ou fumés (ND);01.1.3.5;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.3.5;, séchés, salés, en saumure ou fumés.;;
