libelle;code;url;description;comprend;ne_comprend_pas
Autres préparations à base de légumes, tubercules, bananes plantains, bananes à cuire et légumineuses moulues;01.1.7.9.9;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.7.9.9;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Sucre, confiserie et desserts (ND);01.1.8;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.1.8;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Sucre de canne et sucre de betterave (ND);01.1.8.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.8.1;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Sucre de canne et sucre de betterave;01.1.8.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.8.1.1;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Autres sucres et succédanés du sucre (ND);01.1.8.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.8.2;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Autres sucres et succédanés du sucre;01.1.8.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.8.2.1;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Confitures et marmelades, gelées, purées et pâtes de fruits, miel (ND);01.1.8.3;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.8.3;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Confitures et marmelades, gelées, purées et pâtes de fruits, et miel;01.1.8.3.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.8.3.1;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Purées, beurres et pâtes de fruits à coque (ND);01.1.8.4;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.8.4;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Purées, beurres et pâtes de fruits à coque;01.1.8.4.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.8.4.1;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Chocolat, cacao et produits alimentaires à base de cacao (ND);01.1.8.5;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.8.5;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Chocolats en tablettes;01.1.8.5.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.8.5.1;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Confiseries à base de chocolat;01.1.8.5.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.8.5.2;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Cacao et produits alimentaires à base de cacao;01.1.8.5.3;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.8.5.3;;cacao (y compris fèves de cacao) et cacao en poudre tout usage aliments et desserts à base de chocolat et de cacao;cacao et boissons à base de chocolat ( 01.2.4.0
Glace, crème glacée et sorbets (ND);01.1.8.6;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.8.6;;glaçons pour les boissons crème glacée et kulfi sorbet yaourt glacé boisson glacée crème glacée au tofu;glace pour le refroidissement ( 04.5.5.0
Glace, crème glacée et sorbets;01.1.8.6.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.8.6.1;;glaçons pour les boissons crème glacée et kulfi sorbet yaourt glacé boisson glacée crème glacée au tofu;glace pour le refroidissement ( 04.5.5.0
Autres confiseries et desserts n.c.a. (ND);01.1.8.9;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.8.9;;légumes, fruits, fruits à coques, écorces de fruit et autres parties de plantes, confits chewing-gum, caramels, sucettes, bonbons, pastilles chocolat blanc autres confiseries desserts n.c.a.;sucreries à base de cacao et de chocolat ( 01.1.8.5
Autres confiseries et desserts n.c.a.;01.1.8.9.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.8.9.1;;légumes, fruits, fruits à coques, écorces de fruit et autres parties de plantes, confits chewing-gum, caramels, sucettes, bonbons, pastilles chocolat blanc autres confiseries desserts n.c.a.;sucreries à base de cacao et de chocolat ( 01.1.8.5
Plats préparés et autres produits alimentaires n.c.a (ND);01.1.9;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.1.9;;;
Plats préparés (ND);01.1.9.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.9.1;Aliments et repas préparés qui peuvent être consommés tels quels ou après avoir été chauffés, mais qui ne nécessitent pas de cuisson, ou qui sont assemblés et portionnés de manière à pouvoir être cuits. Ils peuvent contenir des ingrédients mélangés et peuvent être frais, congelés, déshydratés ou instantanés. Ils peuvent inclure des sauces et des assaisonnements qui, en particulier lorsque les aliments sont frais, peuvent être fournis dans des récipients séparés. Parfois, des fourchettes, des couteaux, des cuillères ou des baguettes jetables sont emballés avec les aliments. Traduit avec DeepL.com (version gratuite);"plats précuits à base de pâtes farcies, de riz ou d'autres céréales, tels que couscous, contenant des légumes, de la viande, du poisson, du fromage ou d'autres ingrédients ; et boulettes prêtes à consommer, raviolis, nouilles et similaires, avec sauce repas et plats préparés à base de viande précuite, de substituts de viande ou de poisson dîners télévisés salades composées et autres plats préparés et repas à base de légumes, légumineuses ou pommes de terre et comprenant également d'autres ingrédients tels que viande, poisson et fromage sandwiches, pizzas, quiches, tourtes à la viande ou au poisson, congelés ou non omelettes, crêpes et autres produits alimentaires à base d'œufs, précuits et servis comme plat principal soupes prêtes à l'emploi, y compris soupes et ragoûts déshydratés et instantanés autres plats et repas préparés, n.c.a. kits repas";pain et produits de boulangerie, et gâteaux ( 01.1.1.3 macaronis, nouilles, couscous et pâtes alimentaires similaires non cuits, farcis ou non ( 01.1.1.5 fromage ( 01.1.4.5 ) et yaourt ( 01.1.4.6 pommes de terre en morceaux, congelées ( 01.1.7.9 glaces (0.1.1.8.6) et autres desserts, n.c.a. ( 01.1.8.9
Pizzas, quiches et plats préparés à base de céréales;01.1.9.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.9.1.1;;pizzas, quiches et plats préparés à base de céréales;
Plats préparés à base de pâtes;01.1.9.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.9.1.2;;"plats précuits à base de pâtes farcies, de riz ou d'autres céréales, tels que couscous, contenant des légumes, de la viande, du poisson, du fromage ou d'autres ingrédients ; et boulettes prêtes à consommer, raviolis, nouilles et similaires, avec sauce";
Plats préparés à base de viande;01.1.9.1.3;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.9.1.3;;repas et plats préparés à base de viande précuite tourtes à la viande, congelés ou non;
Plats préparés à base de poisson ou de fruits de mer;01.1.9.1.4;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.9.1.4;;repas et plats préparés à base de poisson tourtes au poisson, congelés ou non;
Plats préparés à base de légumes;01.1.9.1.5;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.9.1.5;;repas et plats préparés à base de substituts de viande salades composées et autres plats préparés et repas à base de légumes, légumineuses ou pommes de terre et comprenant également d'autres ingrédients tels que viande, poisson et fromage;
Potages préparés;01.1.9.1.6;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.9.1.6;;soupes prêtes à l'emploi, y compris soupes et ragoûts déshydratés et instantanés;
Plats préparés n.c.a;01.1.9.1.9;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.9.1.9;;dîners télévisés sandwiches omelettes, crêpes et autres produits alimentaires à base d'œufs, précuits et servis comme plat principal autres plats et repas préparés, n.c.a.;
Aliments pour nourrissons (ND);01.1.9.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.9.2;Les aliments et boissons destinés exclusivement à l'usage des bébés.;préparations pour nourrissons (lait en poudre, condensé et évaporé pour l'usage des bébés) riz et farines pour l’alimentation des nourrisson aliments homogénéisés pour nourrissons;"céréales et farines non destinées exclusivement à l'alimentation des nourrissons (01.1.1.1, 01.1.1.2) lait en poudre non destiné exclusivement à l'alimentation des nourrissons ( 01.1.4.3 yaourts pour enfants ( 01.1.4.6 préparations homogénéisées de fruits et légumes non destinées exclusivement à l’alimentation des nourrissons (01.1.6.9 ; 01.1.7.9)"
Aliments pour nourrissons;01.1.9.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.9.2.1;Les aliments et boissons destinés exclusivement à l'usage des bébés.;préparations pour nourrissons (lait en poudre, condensé et évaporé pour l'usage des bébés) riz et farines pour l’alimentation des nourrisson aliments homogénéisés pour nourrissons;"céréales et farines non destinées exclusivement à l'alimentation des nourrissons (01.1.1.1, 01.1.1.2) lait en poudre non destiné exclusivement à l'alimentation des nourrissons ( 01.1.4.3 yaourts pour enfants ( 01.1.4.6 préparations homogénéisées de fruits et légumes non destinées exclusivement à l’alimentation des nourrissons (01.1.6.9 ; 01.1.7.9)"
Sel, condiments et sauces (ND);01.1.9.3;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.9.3;;sel, sauces, condiments et assaisonnements (y compris moutarde, mayonnaise, ketchup, sauce soja, etc.), vinaigre lait de coco pour la cuisson;lait de coco à boire ( 01.1.4.4 pickles de fruits ( 01.1.6.9 pickles de légumes ( 01.1.7.9
Condiments et sauces;01.1.9.3.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.9.3.1;;sauces, condiments et assaisonnements (y compris moutarde, mayonnaise, ketchup, sauce soja, etc.), vinaigre lait de coco pour la cuisson;lait de coco à boire ( 01.1.4.4 pickles de fruits ( 01.1.6.9 pickles de légumes ( 01.1.7.9
Sel;01.1.9.3.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.9.3.2;;sel;
Épices, herbes aromatiques et graines alimentaires (ND);01.1.9.4;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.9.4;;poivre, piment, gingembre et autres épices persil, romarin, thym et autres herbes culinaires graines de pavot, graine de sésames, graines de lin et autres graines;huiles végétales ( 01.1.5.1 graines à planter ( 09.3.1.2
Épices, herbes et graines culinaires;01.1.9.4.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.9.4.1;;poivre, piment, gingembre et autres épices persil, romarin, thym et autres herbes culinaires graines de pavot, graine de sésames, graines de lin et autres graines;huiles végétales ( 01.1.5.1 graines à planter ( 09.3.1.2
Autres produits alimentaires n.c.a. (ND);01.1.9.9;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.1.9.9;;canne à sucre consommée pour en extraire le jus ou comme en-cas poudres et levures de boulangerie préparées, bouillons, bouillons cubes, bases de soupe, agar-agar et préparations pour desserts instantanés autres plats préparés et autres produits alimentaires;
Produits diététiques;01.1.9.9.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.9.9.1;;Biscuits diététiques et compléments alimentaires;
Desserts, produits pour pâtisserie et autres produits alimentaires n.c.a.;01.1.9.9.9;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.1.9.9.9;;canne à sucre consommée pour en extraire le jus ou comme en-cas poudres et levures de boulangerie préparées, bouillons, bouillons cubes, bases de soupe, agar-agar et préparations pour desserts instantanés autres plats préparés et autres produits alimentaires;
Boissons non alcoolisées;01.2;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/01.2;;boissons ne contenant aucun alcool;lait (01.1.4.1, 01.1.4.2, 01.1.4.3, 01.1.4.4) vin sans alcool ( 02.1.2.1 bière sans alcool ( 02.1.3.0 boissons non alcoolisées pour consommation immédiate fournies par un service de restauration tels que restaurants et cantines scolaires ( 11.1.1
Jus de fruits et de légumes (ND);01.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.2.1;;jus de fruits et de légumes, non fermentés et sans alcool ajoutée, avec ou sans sucre ajouté ni autres édulcorants sirops de fruits et de légumes, et concentrés de fruits et de légumes jus en poudre;jus de fruits pétillants ( 01.2.6.0
Jus de fruits et de légumes (ND);01.2.1.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.2.1.0;;jus de fruits et de légumes, non fermentés et sans alcool ajoutée, avec ou sans sucre ajouté ni autres édulcorants sirops de fruits et de légumes, et concentrés de fruits et de légumes jus en poudre;jus de fruits pétillants ( 01.2.6.0
Jus de fruits et de légumes;01.2.1.0.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.2.1.0.1;;jus de fruits et de légumes, non fermentés et sans alcool ajoutée, avec ou sans sucre ajouté ni autres édulcorants sirops de fruits et de légumes, et concentrés de fruits et de légumes jus en poudre;jus de fruits pétillants ( 01.2.6.0
Café et succédanés de café (ND);01.2.2;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.2.2;;café, même décaféiné, torréfié ou moulu, y compris café instantané succédanés du café extraits, essences et concentrés de café préparations pour boissons à base de café chicorée torréfiée et autres succédanés du café torréfié, ainsi que leurs extraits, essences et concentrés;boissons à base de lait aromatisé au café ( 01.1.4.7
Café et succédanés de café (ND);01.2.2.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.2.2.0;;café, même décaféiné, torréfié ou moulu, y compris café instantané succédanés du café extraits, essences et concentrés de café préparations pour boissons à base de café chicorée torréfiée et autres succédanés du café torréfié, ainsi que leurs extraits, essences et concentrés;boissons à base de lait aromatisé au café ( 01.1.4.7
Café en grains ou moulu;01.2.2.0.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.2.2.0.1;;café, même décaféiné, torréfié ou moulu;
Café soluble et succédanés de café;01.2.2.0.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.2.2.0.2;;café instantané succédanés du café extraits, essences et concentrés de café préparations pour boissons à base de café;
Thé, maté et autres produits d’origine végétale pour infusion (ND);01.2.3;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.2.3;;"thé vert, non fermenté ; thé noir, fermenté ; et thé maté et autres produits dérivés de plantes, partiellement fermenté, à infuser succédanés, extraits et essences de thé thés aux fruits et aux herbes thé rooibos thé instantané thé glacé";
Thé, maté et autres produits d’origine végétale pour infusion (ND);01.2.3.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.2.3.0;;"thé vert, non fermenté ; thé noir, fermenté ; et thé maté et autres produits dérivés de plantes, partiellement fermenté, à infuser succédanés, extraits et essences de thé thés aux fruits et aux herbes thé rooibos thé instantané thé glacé";
Thé et infusion;01.2.3.0.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.2.3.0.1;;"thé vert, non fermenté ; thé noir, fermenté ; et thé maté et autres produits dérivés de plantes, partiellement fermenté, à infuser succédanés, extraits et essences de thé thés aux fruits et aux herbes thé rooibos thé instantané";thé glacé
Thé glacé;01.2.3.0.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.2.3.0.2;;thé glacé;
Boissons à base de cacao (ND);01.2.4;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.2.4;;boissons à base de cacao et de chocolat;"lait aromatisé au chocolat ou au cacao ( 01.1.4.7 poudre de cacao pour tous usages ; chocolat en barres ou tablettes ; aliments à base de cacao et préparations pour desserts à base de cacao ( 01.1.8.5"
Boissons à base de cacao (ND);01.2.4.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.2.4.0;;boissons à base de cacao et de chocolat;"lait aromatisé au chocolat ou au cacao ( 01.1.4.7 poudre de cacao pour tous usages ; chocolat en barres ou tablettes ; aliments à base de cacao et préparations pour desserts à base de cacao ( 01.1.8.5"
Boissons à base de cacao;01.2.4.0.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.2.4.0.1;;boissons à base de cacao et de chocolat;"lait aromatisé au chocolat ou au cacao ( 01.1.4.7 poudre de cacao pour tous usages ; chocolat en barres ou tablettes ; aliments à base de cacao et préparations pour desserts à base de cacao ( 01.1.8.5"
Eau (ND);01.2.5;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.2.5;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Eau (ND);01.2.5.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.2.5.0;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Eau;01.2.5.0.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.2.5.0.1;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Boissons gazeuses (ND);01.2.6;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.2.6;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Boissons gazeuses (ND);01.2.6.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.2.6.0;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Boissons gazeuses;01.2.6.0.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.2.6.0.1;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Autres boissons non alcoolisées (ND);01.2.9;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.2.9;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Autres boissons non alcoolisées (ND);01.2.9.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.2.9.0;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Eau aromatisée;01.2.9.0.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.2.9.0.1;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Boissons énergisantes;01.2.9.0.2;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.2.9.0.2;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Sirops, concentrés et autres boissons non alcoolisées;01.2.9.0.9;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.2.9.0.9;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Services de transformation de matières premières pour les produits alimentaires et les boissons non alcoolisées;01.3;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/01.3;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Services de transformation de matières premières pour les produits alimentaires et les boissons non alcoolisées (S);01.3.0;https://www.insee.fr/fr/metadonnees/coicop2018/classe/01.3.0;Le site insee.fr est actuellement indisponible pour des raisons techniques. Nous vous invitons à réessayer ultérieurement. Suivez-nous sur les fils Bluesky et X de l'Insee Suivez-nous sur Bluesky Suivez-nous sur X;;
Services de transformation de matières premières pour les produits alimentaires et les boissons non alcoolisées (S);01.3.0.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/01.3.0.0;les boissons non alcoolisées les boissons non alcoolisées (S) les boissons non alcoolisées (S) Services de transformation de matières premières achetés par les ménages en vue de produire des produits alimentaires et des boissons non alcoolisées destinées à l'autoconsommation, à partir de matières premières fournies par les ménages.;services de broyage de céréales pour la production de farine services de pressage d'huile services de broyage et de pressage pour la production de jus de fruits et de légumes abattage à façon d'animaux terrestres, domestiques et sauvages, à des fins alimentaires;services de transformation de produits alimentaires à des fins commerciales (hors du champ d'application de la COICOP) services de broyage et de pressage des fruits et légumes pour la production de boissons alcoolisées ( 02.2.0.0
Services de transformation de matières premières pour les produits alimentaires et les boissons non alcoolisées;01.3.0.0.1;https://www.insee.fr/fr/metadonnees/coicop2018/poste/01.3.0.0.1;les boissons non alcoolisées les boissons non alcoolisées (S) les boissons non alcoolisées (S) les boissons non alcoolisées Services de transformation de matières premières achetés par les ménages en vue de produire des produits alimentaires et des boissons non alcoolisées destinées à l'autoconsommation, à partir de matières premières fournies par les ménages.;services de broyage de céréales pour la production de farine services de pressage d'huile services de broyage et de pressage pour la production de jus de fruits et de légumes abattage à façon d'animaux terrestres, domestiques et sauvages, à des fins alimentaires;services de transformation de produits alimentaires à des fins commerciales (hors du champ d'application de la COICOP) services de broyage et de pressage des fruits et légumes pour la production de boissons alcoolisées ( 02.2.0.0
Boissons alcoolisées, tabac et stupéfiants;02;https://www.insee.fr/fr/metadonnees/coicop2018/division/02;couvre l'achat de boissons alcoolisées ( ), de produits du tabac ( ) et de stupéfiants ( ), quel que soit l'endroit où ils sont consommés, à l'exclusion de l'achat de ces produits dans des établissements tels que les restaurants par l'intermédiaire de leurs services de restauration. comprend également les boissons faiblement alcoolisées et les boissons non alcoolisées qui sont généralement alcoolisées, telles que la bière non alcoolisée. Les services de production d'alcool pour la consommation propre (;;
Boissons alcoolisées;02.1;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/02.1;Les boissons classées ici comprennent les boissons faiblement alcoolisées et les boissons non alcoolisées qui contiennent généralement un peu d'alcool.;;
Spiritueux et liqueurs (ND);02.1.1;https://www.insee.fr/fr/metadonnees/coicop2018/classe/02.1.1;;eaux de vie, liqueurs et autres spiritueux à forte teneur en alcool hydromel brandys, tels que pisco, grappa et marc apéritifs autres que ceux à base de vin;apéritifs à base de vin (02.1.2.1, 02.1.2.2)
Spiritueux et liqueurs (ND);02.1.1.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/02.1.1.0;;eaux de vie, liqueurs et autres spiritueux à forte teneur en alcool hydromel brandys, tels que pisco, grappa et marc apéritifs autres que ceux à base de vin;apéritifs à base de vin (02.1.2.1, 02.1.2.2)
Vin (ND);02.1.2;https://www.insee.fr/fr/metadonnees/coicop2018/classe/02.1.2;;vin, cidre et poiré, y compris saké apéritifs à base de vin, vins fortifiés, champagne et autres vins mousseux vin glacé vins à faible teneur en alcool et vins sans alcool apéritifs à base de vin;
Vin de raisins (ND);02.1.2.1;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/02.1.2.1;;vin de raisins apéritifs à base de vin, vins fortifiés champagne et autres vins mousseux vin glacé vins à faible teneur en alcool et vins sans alcool apéritifs à base de vin;
Vin d’autres sources (ND);02.1.2.2;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/02.1.2.2;;cidre et poiré, y compris saké;
Bière (ND);02.1.3;https://www.insee.fr/fr/metadonnees/coicop2018/classe/02.1.3;;toutes sortes de bières, telles que ale, lager, stout et porter bière à faible teneur en alcool et bière sans alcool;
Bière (ND);02.1.3.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/02.1.3.0;;toutes sortes de bières, telles que ale, lager, stout et porter bière à faible teneur en alcool et bière sans alcool;
Autres boissons alcoolisées (ND);02.1.9;https://www.insee.fr/fr/metadonnees/coicop2018/classe/02.1.9;;boissons mélangées à base d'alcool, telles que l'eau gazeuse, et les boissons alcoolisées mélangées à base d'eau minérale (alcopop) panaché, bière au cola et radler;
Autres boissons alcoolisées (ND);02.1.9.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/02.1.9.0;;boissons mélangées à base d'alcool, telles que l'eau gazeuse, et les boissons alcoolisées mélangées à base d'eau minérale (alcopop) panaché, bière au cola et radler;
Services de production d’alcool;02.2;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/02.2;Services de transformation de matières premières achetés par les ménages en vue de produire de l’alcool destinées à leur propre consommation, à partir de matières premières fournies par les ménages.;;
Services de production d’alcool (S);02.2.0;https://www.insee.fr/fr/metadonnees/coicop2018/classe/02.2.0;Services de transformation de matières premières achetés par les ménages en vue de produire de l’alcool destinées à leur propre consommation, à partir de matières premières fournies par les ménages.;services de broyage et de pressage de fruits et de légumes pour la production de boissons alcoolisées services de distillation et de fermentation services de brassage services de vieillissement et de mise en bouteilles;
Services de production d’alcool (S);02.2.0.0;https://www.insee.fr/fr/metadonnees/coicop2018/sousClasse/02.2.0.0;Services de transformation de matières premières achetés par les ménages en vue de produire de l’alcool destinées à leur propre consommation, à partir de matières premières fournies par les ménages.;services de broyage et de pressage de fruits et de légumes pour la production de boissons alcoolisées services de distillation et de fermentation services de brassage services de vieillissement et de mise en bouteilles;
Tabac;02.3;https://www.insee.fr/fr/metadonnees/coicop2018/groupe/02.3;, même si elles ne contiennent pas de tabac, car elles constituent un substitut aux produits du tabac.;;
Tabac (ND);02.3.0;https://www.insee.fr/fr/metadonnees/coicop2018/classe/02.3.0;;cigarettes, tabac à cigarettes et feuilles de tabac papiers à cigarettes et filtres à usage unique qui sont consommés avec la cigarette cigares, tabac à pipe, tabac à mâcher et tabac à priser recharges pour cigarettes électroniques, avec ou sans nicotine tabac consommé avec une chicha ou une pipe à narguilé s'il est consommé à domicile tabac acheté dans les bars et les restaurants, à condition qu'aucun frais de service ne soit appliqué;tabac consommé avec une chicha ou une pipe à narguilé dans les restaurants, les cafés et les salons de chicha ( 11.1.1 cigarettes électroniques et autres articles pour fumeurs ( 13.2.9.1
