nom_variete;code_variete_ecoicopv1;code_sous_classe_ecoicopv2
Conserve de thon à l’huile nature;01.1.3.6.2.0010;01.1.9.1
Recharge de lessive liquide lave-linge;05.6.1.1.1.0018;05.6.1.1
Pains au chocolat;01.1.1.4.3.0003;01.1.1.3
Briochettes fourrées au chocolat;01.1.1.4.3.0004;01.1.1.3
Fromage à raclette;01.1.4.5.3.0008;01.1.4.5
Fromage en tranches pour burger;01.1.4.5.5.0004;01.1.4.5
Café en grains arabica pur;01.2.1.1.1.0006;01.2.2.0
Rasoir jetable femme;12.1.3.1.1.0036;13.1.2.0
Bière blonde légère en fût;02.1.3.1.1.0006;02.1.3.0
Eau gazeuse nature;01.2.2.1.1.0005;01.2.5.0
Rhum arrangé;02.1.1.1.3.0015;02.1.1.0
Mélange de fruits rouges surgelés;01.1.6.2.1.0002;01.1.6.6
Corned beef;01.1.2.8.4.0008;01.1.2.5
Crème coloration permanente;12.1.3.2.4.0015;13.1.2.0
Skyr;01.1.4.4.1.0008;01.1.4.6
Boisson végétale à base d'amande;01.2.2.3.1.0017;01.1.4.4
Boisson végétale à base de soja;01.2.2.3.1.0018;01.1.4.4
Boisson végétale à base d'avoine;01.2.2.3.1.0019;01.1.4.4
Autres boissons végétales;01.2.2.3.1.0020;01.1.4.4
Galette de riz;01.1.1.7.1.0007;01.1.1.4
Épeautre;01.1.1.2.1.0005;01.1.1.1
Sucre allégé;01.1.8.6.1.0003;01.1.8.2
Couche pour adultes;12.1.3.2.5.0033;06.1.3.3
Viande des Grisons;01.1.2.7.4.0010;01.1.2.3
