tri;type;parent;code;label_en;label_fr;note_generale_en;note_generale_fr;contenu_central_en;contenu_central_fr;contenu_additionnel_en;contenu_additionnel_fr;note_exclusion_en;note_exclusion_fr;;;
248;Classe;03.1;03.1.1;Clothing materials (SD);Tissus pour habillement (SD);;;"— clothing materials of natural, synthetic and mixed fibres
— leather, fur, fusible webbing, wadding and felt filling for making wearing apparel";"— matériaux d'habillement en fibres naturelles, synthétiques et mixtes
— cuir, fourrure, sangles thermocollantes, ouate et feutre pour la fabrication de vêtements";;;— furnishing fabrics (05.2.1.1);— tissus d'ameublement (05.2.1.1);;;
249;Sous-classe;03.1.1;03.1.1.0;Clothing materials (SD);Tissus pour habillement (SD);;;"— clothing materials of natural, synthetic and mixed fibres
— leather, fur, fusible webbing, wadding and felt filling for making wearing apparel";"— matériaux d'habillement en fibres naturelles, synthétiques et mixtes
— cuir, fourrure, sangles thermocollantes, ouate et feutre pour la fabrication de vêtements";;;— furnishing fabrics (05.2.1.1);— tissus d'ameublement (05.2.1.1);;;
250;Poste;03.1.1.0;03.1.1.0.1;Clothing materials;Tissus pour l’habillement;;;"— clothing materials of natural, synthetic and mixed fibres
— leather, fur, fusible webbing, wadding and felt filling for making wearing apparel";"— matériaux d'habillement en fibres naturelles, synthétiques et mixtes
— cuir, fourrure, sangles thermocollantes, ouate et feutre pour la fabrication de vêtements";;;— furnishing fabrics (05.2.1.1);— tissus d'ameublement (05.2.1.1);;;
251;Classe;03.1;03.1.2;Garments (SD);Vêtements (SD);Garments for men and boys, women and girls and infants, either ready-to-wear or made to measure, in all materials (including leather, furs, plastics and rubber), for everyday wear, for sport or for work.;Vêtements pour hommes et garçons, femmes et filles et nourrissons, prêts à porter ou sur mesure, en toutes matières (y compris le cuir, la fourrure, le plastique et le caoutchouc), pour la vie quotidienne, le sport ou le travail.;"— capes, overcoats, raincoats, anoraks, parkas, blousons, jackets, trousers, waistcoats, suits, costumes, dresses, skirts, etc.
— shirts, blouses, pullovers, sweaters, cardigans, shorts, swimsuits, tracksuits, jogging suits, sweatshirts, T-shirts, leotards, etc.
— vests, underpants, socks, stockings, tights, petticoats, brassieres, knickers, slips, girdles, corsets, body stockings, etc.
— pyjamas, nightshirts, nightdresses, housecoats, dressing gowns, bathrobes, etc.
— traditional garments";"— capes, manteaux, imperméables, anoraks, parkas, blousons, vestes, pantalons, gilets, costumes, robes, jupes, etc.
— chemises, chemisiers, pulls, pullovers, cardigans, shorts, maillots de bain, survêtements, joggings, sweatshirts, T-shirts, justaucorps, etc.
— gilets, caleçons, chaussettes, bas, collants, jupons, brassières, culottes, slips, gaines, corsets, bas de corps, etc.
— pyjamas, chemises de nuit, nuisettes, robes de chambre, robes d’intérieur, peignoirs, etc.
— vêtements traditionnels";;;"— tailoring services for which the customer supplies the material (03.1.4.2)
— articles of medical hosiery, such as elasticated stockings (06.1.2.2)
— diapers (nappies) of any material (13.2.9.1)";"— services de couture lorsque le client fournit le matériel (03.1.4.2)
— articles de bonneterie médicale, tels que les bas élastiques (06.1.2.2)
— couches quelle que soit la matière (13.2.9.1)";;;
252;Sous-classe;03.1.2;03.1.2.1;Garments for men or boys (SD);Vêtements pour hommes ou garçons (SD);Garments for men or boys, either ready-to-wear or made-to-measure, in all materials (including leather, furs, plastics and rubber), for everyday wear, for sport or for work;Vêtements pour hommes ou garçons, prêts à porter ou sur mesure, en toutes matières (y compris le cuir, la fourrure, le plastique et le caoutchouc), pour la vie quotidienne, le sport ou le travail.;"— capes, overcoats, raincoats, anoraks, parkas, jackets, trousers, waistcoats, suits, costumes, etc.
— shirts, pullovers, sweaters, cardigans, shorts, swimsuits, tracksuits, jogging suits, sweatshirts, T-shirts, leotards, etc.
— traditional garments
— vests, underpants, socks, etc.
— pyjamas, dressing gowns, bathrobes, etc.";"— capes, manteaux, imperméables, anoraks, parkas, blousons, vestes, pantalons, gilets, costumes, etc.
— chemises, pulls, pullovers, cardigans, shorts, maillots de bain, survêtements, joggings, sweatshirts, T-shirts, justaucorps, etc.
— vêtements traditionnels
— gilets, caleçons, chaussettes, etc.
— pyjamas, chemises de nuit, peignoirs, etc.";;;"— garments for infants (under 2 years of age) (03.1.2.3)
— tailoring services for which the customer supplies the material (03.1.4.2)
— articles of medical hosiery, such as elasticated stockings (06.1.2.2)";"— vêtements pour bébés (de 0 à moins de 2 ans) (03.1.2.3)
— services de couture lorsque le client fournit le matériel (03.1.4.2)
— articles de bonneterie médicale, tels que bas de contention (06.1.2.2)";;;
253;Poste;03.1.2.1;03.1.2.1.1;Coats, raincoats and jackets for men or boys;Manteaux, imperméables et vestes pour homme ou garçon;;;— capes, overcoats, raincoats, anoraks, parkas, jackets;— capes, manteaux, imperméables, anoraks, parkas, blousons;;;;;;;
254;Poste;03.1.2.1;03.1.2.1.2;Suits for men or boys;Costumes pour homme ou garçon;;;"— waistcoats, suits, costumes
— traditional garments";"— gilets, costumes
— vêtements traditionnels";;;;;;;
255;Poste;03.1.2.1;03.1.2.1.3;Trousers for men or boys;Pantalons pour homme ou garçon;;;— trousers.;— pantalons;;;;;;;
256;Poste;03.1.2.1;03.1.2.1.4;Sportswear for men or boys;Vêtements de sport ou de loisir pour homme ou garçon;;;— shorts, swimsuits, tracksuits, jogging suits, sweatshirts, T-shirts, leotards, etc.;— shorts, maillots de bain, survêtements, joggings, sweatshirts, T-shirts, justaucorps, etc.;;;;;;;
257;Poste;03.1.2.1;03.1.2.1.5;Shirts, pullovers and sweaters for men or boys;Chemises, tricots et pull-overs pour homme ou garçon;;;— shirts, pullovers, sweaters, cardigans, etc.;— chemises, pulls, pullovers, cardigans, etc.;;;;;;;
258;Poste;03.1.2.1;03.1.2.1.6;Underwear and nightwear and for men or boys;Sous-vêtements et vêtements de nuit pour homme ou garçon;;;"— vests, underpants, socks, etc.
— pyjamas, dressing gowns, bathrobes, etc.";"— gilets, caleçons, chaussettes, etc.
— pyjamas, chemises de nuit, peignoirs, etc.";;;;;;;
259;Sous-classe;03.1.2;03.1.2.2;Garments for women or girls (SD);Vêtements pour femmes ou filles (SD);Garments for women or girls, either ready-to-wear or made-to-measure, in all materials (including leather, furs, plastics and rubber), for everyday wear, for sport or for work.;Vêtements pour femmes ou jeunes filles, prêts à porter ou sur mesure, en toutes matières (y compris cuir, fourrure, plastique et caoutchouc), pour la vie quotidienne, le sport ou le travail.;"— capes, overcoats, raincoats, anoraks, parkas, blousons, jackets, trousers, waistcoats, suits, costumes, dresses, skirts, etc.
— shirts, blouses, pullovers, sweaters, cardigans, shorts, swimsuits, tracksuits, jogging suits, sweatshirts, t-shirts, leotards, etc.
— traditional garments
— vests, underpants, socks, stockings, tights, petticoats, brassieres, knickers, slips, girdles, corsets, body stockings, etc.
— pyjamas, nightshirts, nightdresses, housecoats, dressing gowns, bathrobes, etc.";"— capes, manteaux, imperméables, anoraks, parkas, blousons, vestes, pantalons, gilets, costumes, robes, jupes, etc.
— chemises, chemisiers, pulls, pullovers, cardigans, shorts, maillots de bain, survêtements, joggings, sweatshirts, T-shirts, justaucorps, etc.
— vêtements traditionnels
— gilets, caleçons, chaussettes, bas, collants, jupons, brassières, culottes, slips, gaines, corsets, bas de corps, etc.
— pyjamas, chemises de nuit, nuisettes, robes de chambre, robes d’intérieures, peignoirs, etc.";;;"— garments for infants (under 2 years of age) (03.1.2.3)
— tailoring services for which the customer supplies the material (03.1.4.2)
— articles of medical hosiery, such as elasticated stockings (06.1.2.2)";"— vêtements pour bébés (de 0 à moins de 2 ans) (03.1.2.3)
— services de couture lorsque le client fournit le matériel (03.1.4.2)
— articles de bonneterie médicale, tels que bas de contention (06.1.2.2)";;;
260;Poste;03.1.2.2;03.1.2.2.1;Coats, raincoats and jackets for women or girls;Manteaux, imperméables et vestes pour femme ou fille;;;— capes, overcoats, raincoats, anoraks, parkas, blousons, jackets, etc.;— capes, manteaux, imperméables, anoraks, parkas, blousons, vestes, etc.;;;;;;;
261;Poste;03.1.2.2;03.1.2.2.2;Dresses, suits and ensembles for women or girls;Robes, tailleurs et ensembles pour femme ou fille;;;"— waistcoats, suits, costumes, dresses, etc.
— traditional garments";"— gilets, costumes, robes, etc.
— vêtements traditionnels";;;;;;;
262;Poste;03.1.2.2;03.1.2.2.3;Trousers and skirts for women or girls;Pantalons et jupes pour femme ou fille;;;— trousers, skirts, etc.;— pantalons, jupes, etc.;;;;;;;
263;Poste;03.1.2.2;03.1.2.2.4;Sportswear for women or girls;Vêtements de sport ou loisir pour femme ou fille;;;— shorts, swimsuits, tracksuits, jogging suits, sweatshirts, T-shirts, leotards, etc.;— shorts, maillots de bain, survêtements, joggings, sweatshirts, T-shirts, justaucorps, etc.;;;;;;;
264;Poste;03.1.2.2;03.1.2.2.5;Blouses, pullovers and sweaters forwomen or girls;Chemisiers, tricots et pull-overs pour femme ou fille;;;— shirts, blouses, pullovers, sweaters, cardigans, etc.;— chemises, chemisiers, pulls, pullovers, cardigans,etc.;;;;;;;
265;Poste;03.1.2.2;03.1.2.2.6;Underwear and nightwear and for women or girls;Sous-vêtements et vêtements de nuit pour femme ou fille;;;"— vests, underpants, socks, stockings, tights, petticoats, brassieres, knickers, slips, girdles, corsets, body stockings, etc.
— pyjamas, nightshirts, nightdresses, housecoats, dressing gowns, bathrobes, etc..";"— gilets, caleçons, chaussettes, bas, collants, jupons, brassières, culottes, slips, gaines, corsets, bas de corps, etc.
— pyjamas, chemises de nuit, nuisettes, robes de chambre, robes d’intérieures, peignoirs, etc.";;;;;;;
266;Sous-classe;03.1.2;03.1.2.3;Garments for infants (0 to under 2 years) (SD);Vêtements pour nourrissons (de moins de 2 ans) (SD);Garments for infants or babies (under 2 years of age), either ready-to-wear or made to measure, in all materials.;Vêtements pour nourrissons et bébés (de 0 à moins de 2 ans), prêts à porter ou sur mesure, en toutes matières.;"— raincoats, anoraks, parkas, blousons, jackets, trousers, waistcoats, suits, costumes, dresses, skirts, etc.
— vests, underpants, socks, stockings, tights, etc.
— pyjamas, nightshirts, nightdresses, dressing gowns, bathrobes, etc.";"— imperméables, anoraks, parkas, blousons, vestes, pantalons, gilets, costumes, robes, jupes, etc.
— gilets, caleçons, chaussettes, bas, collants, etc.
— pyjamas, chemises de nuit, nuisettes, robes de chambre, peignoirs, etc.";;;"— tailoring services for which the customer supplies the material (03.1.4.2)
— diapers (nappies) of any material (13.2.9.1)";"— services de couture lorsque le client fournit le matériel (03.1.4.2)
— couches quelle que soit la matière (13.2.9.1)";;;
267;Poste;03.1.2.3;03.1.2.3.1;Garments for infants (0 to under 2 years);Vêtements pour nourrissons (de moins de 2 ans);Garments for infants or babies (under 2 years of age), either ready-to-wear or made to measure, in all materials.;Vêtements pour nourrissons et bébés (de 0 à moins de 2 ans), prêts à porter ou sur mesure, en toutes matières.;"— raincoats, anoraks, parkas, blousons, jackets, trousers, waistcoats, suits, costumes, dresses, skirts, etc.
— vests, underpants, socks, stockings, tights, etc.
— pyjamas, nightshirts, nightdresses, dressing gowns, bathrobes, etc.";"— imperméables, anoraks, parkas, blousons, vestes, pantalons, gilets, costumes, robes, jupes, etc.
— gilets, caleçons, chaussettes, bas, collants, etc.
— pyjamas, chemises de nuit, nuisettes, robes de chambre, peignoirs, etc.";;;"— tailoring services for which the customer supplies the material (03.1.4.2)
— diapers (nappies) of any material (13.2.9.1)";"— services de couture lorsque le client fournit le matériel (03.1.4.2)
— couches quelle que soit la matière (13.2.9.1)";;;
268;Sous-classe;03.1.2;03.1.2.4;School uniforms (SD);Uniformes scolaires (SD);;;— school uniforms;— uniformes scolaires;;;;;;;
269;Poste;03.1.2.4;03.1.2.4.1;School uniforms;Uniformes scolaires;;;— school uniforms;— uniformes scolaires;;;;;;;
270;Classe;03.1;03.1.3;Other articles of clothing and clothing accessories (SD);Autres articles et accessoires d’habillement (SD);;;"— ties, handkerchiefs, scarves, gloves, mittens, muffs, belts, braces, aprons, smocks, bibs, sleeve protectors, hats, caps, berets, bonnets, etc.
— sewing threads, knitting yarns and clothing accessories, such as buckles, buttons, press studs, zip fasteners, ribbons, laces, trimmings, etc.";"— cravates, mouchoirs, écharpes, gants, moufles, manchons, ceintures, bretelles, tabliers, blouses, bavoirs, protège-manches, chapeaux, casquettes, bérets, bonnets, etc.
— fils à coudre, fils à tricoter et accessoires pour la confection de vêtements, tels que boucles, boutons, boutons-pression, fermetures à glissière, rubans, lacets, garnitures, etc.";— working gloves;— gants de travail;"— pins, safety pins, sewing needles, knitting needles and thimbles; rubber gloves and other articles made of rubber; and gardening gloves (05.6.1.9)
— protective headgear for sports; and other protective gear for sports, such as life jackets, boxing and other sporting gloves, body padding, belts, supports, etc. (09.2.2.1)
— paper handkerchiefs (13.1.2.0)
— watches, jewellery, cufflinks and tiepins (13.2.1.1)
— umbrellas and parasols, fans and key rings (13.2.9.1)";"— épingles, épingles de sûreté, aiguilles à coudre, aiguilles à tricoter et dés à coudre ; gants en caoutchouc et autres articles en caoutchouc ; et gants de jardinage (05.6.1.9)
— casques de protection pour le sport ; autres équipements de protection pour le sport, tels que gilets de sauvetage, gants de boxe et autres gants de sport, rembourrages corporels, ceintures, supports, etc. (09.2.2.1)
— mouchoirs en papier (13.1.2.0)
— montres, bijoux, boutons de manchette, épingles à cravate (13.2.1.1)
— parapluies et parasols, éventails, porte-clés (13.2.9.1)";;;
271;Sous-classe;03.1.3;03.1.3.1;Other articles of clothing (SD);Autres articles d’habillement (SD);;;— ties, handkerchiefs, scarves, gloves, mittens, muffs, belts, braces, aprons, smocks, bibs, sleeve protectors, hats, caps, berets, bonnets, etc.;— cravates, mouchoirs, écharpes, gants, moufles, manchons, ceintures, bretelles, tabliers, blouses, bavoirs, protège-manches, chapeaux, casquettes, bérets, bonnets, etc.;— working gloves;— gants de travail;"— pins, safety pins, sewing needles, knitting needles and thimbles; rubber gloves and other articles made of rubber; and gardening gloves (05.6.1.9)
— protective headgear for sports; and other protective gear for sports, such as life jackets, boxing and other sporting gloves, body padding, belts, supports, etc. (09.2.2.1)
— paper handkerchiefs (13.1.2.0)
— watches, jewellery, cufflinks and tiepins (13.2.1.1)
— umbrellas and parasols, fans and key rings (13.2.9.1)";"— épingles, épingles de sûreté, aiguilles à coudre, aiguilles à tricoter et dés à coudre ; gants en caoutchouc et autres articles en caoutchouc ; et gants de jardinage (05.6.1.9)
— casques de protection pour le sport ; autres équipements de protection pour le sport, tels que gilets de sauvetage, gants de boxe et autres gants de sport, rembourrages corporels, ceintures, supports, etc. (09.2.2.1)
— mouchoirs en papier (13.1.2.0)
— montres, bijoux, boutons de manchette, épingles à cravate (13.2.1.1)
— parapluies et parasols, éventails, porte-clés (13.2.9.1)";;;
272;Poste;03.1.3.1;03.1.3.1.1;Other articles of clothing;Autres articles d'habillement;;;— ties, handkerchiefs, scarves, gloves, mittens, muffs, belts, braces, aprons, smocks, bibs, sleeve protectors, hats, caps, berets, bonnets, etc.;— cravates, mouchoirs, écharpes, gants, moufles, manchons, ceintures, bretelles, tabliers, blouses, bavoirs, protège-manches, chapeaux, casquettes, bérets, bonnets, etc.;— working gloves;— gants de travail;"— pins, safety pins, sewing needles, knitting needles and thimbles; rubber gloves and other articles made of rubber; and gardening gloves (05.6.1.9)
— protective headgear for sports; and other protective gear for sports, such as life jackets, boxing and other sporting gloves, body padding, belts, supports, etc. (09.2.2.1)
— paper handkerchiefs (13.1.2.0)
— watches, jewellery, cufflinks and tiepins (13.2.1.1)
— umbrellas and parasols, fans and key rings (13.2.9.1)";"— épingles, épingles de sûreté, aiguilles à coudre, aiguilles à tricoter et dés à coudre ; gants en caoutchouc et autres articles en caoutchouc ; et gants de jardinage (05.6.1.9)
— casques de protection pour le sport ; autres équipements de protection pour le sport, tels que gilets de sauvetage, gants de boxe et autres gants de sport, rembourrages corporels, ceintures, supports, etc. (09.2.2.1)
— mouchoirs en papier (13.1.2.0)
— montres, bijoux, boutons de manchette, épingles à cravate (13.2.1.1)
— parapluies et parasols, éventails, porte-clés (13.2.9.1)";;;
273;Sous-classe;03.1.3;03.1.3.2;Clothing accessories (SD);Accessoires d’habillement (SD);;;— sewing threads, knitting yarns and accessories used in the creation of clothing, such as buckles, buttons, press studs, zip fasteners, ribbons, laces, trimmings, etc.;— fils à coudre, fils à tricoter et accessoires utilisés dans la confection de vêtements, tels que boucles, boutons, boutons-pression, fermetures à glissière, rubans, lacets, garnitures, etc.;;;;;;;
274;Poste;03.1.3.2;03.1.3.2.1;Clothing accessories;Accessoires d’habillement;;;— sewing threads, knitting yarns and accessories used in the creation of clothing, such as buckles, buttons, press studs, zip fasteners, ribbons, laces, trimmings, etc.;— fils à coudre, fils à tricoter et accessoires utilisés dans la confection de vêtements, tels que boucles, boutons, boutons-pression, fermetures à glissière, rubans, lacets, garnitures, etc.;;;;;;;
275;Classe;03.1;03.1.4;Cleaning, repair, tailoring and hire of clothing (S);Nettoyage, réparation, confection et location d’articles d’habillement (S);The cost of materials is included only if not separately priced.;Le coût des matériaux est inclus si les matériaux ne sont pas facturés séparément.;"— dry-cleaning, laundering and dyeing of garments
— darning, mending, repair and altering of garments
— tailoring services, for which the customer supplies the material
— hire of garments";"— nettoyage à sec, blanchiment et teinture de vêtements
— reprisage, raccommodage, réparation et modification de vêtements
— services de couture lorsque le client fournit le matériau
— location de vêtements";;;"— materials, threads and accessories purchased by households with the intention of undertaking maintenance and repairs themselves (03.1.1.0; 03.1.3.2)
— made-to-measure clothing (03.1.2.1; 03.1.2.2; 03.1.2.3; 03.1.2.4)
— repair, hire and sewing services of household linen and other household textiles (05.2.2.0)
— dry-cleaning, laundering, dyeing of household linen and other household textiles (05.6.2.9)";"— matériaux, fils et accessoires achetés par les ménages dans l'intention d'effectuer eux-mêmes l’entretien et les réparations (03.1.1.0, 03.1.3.2)
— vêtements sur mesure (03.1.2.1, 03.1.2.2, 03.1.2.3, 03.1.2.4)
— services de réparation, location et couture de linge de maison et d'autres textiles ménagers (05.2.2.0)
— nettoyage à sec, blanchiment, teinture et location de linge de maison et autres articles textiles à usage domestique (05.6.2.9)";;;
276;Sous-classe;03.1.4;03.1.4.1;Cleaning of clothing (S);Nettoyage d’articles d’habillement (S);;;— dry-cleaning, laundering and dyeing of garments;— nettoyage à sec, blanchiment et teinture de vêtements;;;— dry-cleaning, laundering, dyeing of household linen and other household textiles (05.6.2.9);— nettoyage à sec, blanchiment, teinture et location de linge de maison et autres articles textiles à usage domestique (05.6.2.9);;;
277;Poste;03.1.4.1;03.1.4.1.1;Cleaning of clothing;Nettoyage d’articles d’habillement;;;— dry-cleaning, laundering and dyeing of garments;— nettoyage à sec, blanchiment et teinture de vêtements;;;— dry-cleaning, laundering, dyeing of household linen and other household textiles (05.6.2.9);— nettoyage à sec, blanchiment, teinture et location de linge de maison et autres articles textiles à usage domestique (05.6.2.9);;;
278;Sous-classe;03.1.4;03.1.4.2;Repair, tailoring and hire of clothing (S);Réparation, confection et location d’articles d’habillement (S);The cost of materials is included only if they are not separately priced.;Le coût des matériaux est inclus si les matériaux ne sont pas facturés séparément.;"— darning, mending, repair and altering of garments
— tailoring services for which the customer supplies the material
— hire of garments";"— reprisage, raccommodage, réparation et modification de vêtements
— services de couture lorsque le client fournit le matériel
— location de vêtements";;;"— clothing materials, threads, and other accessories purchased by households with the intention of undertaking maintenance and repair themselves (03.1.1.0; 03.1.3.2)
— made-to measure clothing (03.1.2.1; 03.1.2.2; 03.1.2.3; 03.1.2.4)
— repair, hire and sewing services of household linen and other household textiles (05.2.2.0)";"— matériaux, fils et accessoires achetés par les ménages dans l'intention d'effectuer eux-mêmes l’entretien et les réparations (03.1.1.0, 03.1.3.2)
— vêtements sur mesure (03.1.2.1, 03.1.2.2, 03.1.2.3, 03.1.2.4)
— services de réparation, location et couture de linge de maison et d'autres textiles ménagers (05.2.2.0)";;;
279;Poste;03.1.4.2;03.1.4.2.1;Repair, tailoring and hire of clothing;Réparation, confection et location d’articles d’habillement;The cost of materials is included only if they are not separately priced.;Le coût des matériaux est inclus si les matériaux ne sont pas facturés séparément.;"— darning, mending, repair and altering of garments
— tailoring services for which the customer supplies the material
— hire of garments";"— reprisage, raccommodage, réparation et modification de vêtements
— services de couture lorsque le client fournit le matériel
— location de vêtements";;;"— clothing materials, threads, and other accessories purchased by households with the intention of undertaking maintenance and repair themselves (03.1.1.0; 03.1.3.2)
— made-to measure clothing (03.1.2.1; 03.1.2.2; 03.1.2.3; 03.1.2.4)
— repair, hire and sewing services of household linen and other household textiles (05.2.2.0)";"— matériaux, fils et accessoires achetés par les ménages dans l'intention d'effectuer eux-mêmes l’entretien et les réparations (03.1.1.0, 03.1.3.2)
— vêtements sur mesure (03.1.2.1, 03.1.2.2, 03.1.2.3, 03.1.2.4)
— services de réparation, location et couture de linge de maison et d'autres textiles ménagers (05.2.2.0)";;;
280;Groupe;03;03.2;Footwear;Chaussures;"Group 03.2 covers all general footwear, either ready-to-wear or made to measure, divided into the following categories: footwear for men; footwear for women; footwear for infants and children; and footwear-related services. Sport-specific footwear is classified to sub-class 09.2.2.1.";"Le groupe 03.2 comprend toutes les chaussures générales, prêtes à porter ou sur mesure, réparties dans les catégories suivantes : chaussures pour hommes ; chaussures pour femmes ; chaussures pour nourrissons et enfants ; et services liés à la chaussure. Les chaussures de sport sont classées dans la sous-classe 09.2.2.1.";;;;;;;;;
281;Classe;03.2;03.2.1;Shoes and other footwear (SD);Chaussures diverses (SD);;;"— all footwear for men, women, infants and children, either ready-to-wear or made to measure, including sports footwear suitable for everyday or leisure wear (shoes for jogging, cross-training, tennis, basketball, boating, etc.)
— gaiters and similar articles; shoelaces; and parts of footwear, such as heels, soles, etc., purchased by households with the intention of undertaking footwear repair themselves";"— tous types de chaussures pour hommes, femmes, nourrissons et enfants, prêtes à porter ou fabriquées sur mesure, y compris chaussures de sport destinées à être portées tous les jours ou pendant les loisirs (chaussures pour le jogging, le cross-training, le tennis, le basket-ball, le nautisme, etc.)
— guêtres et articles similaires ; lacets ; et parties de chaussures, telles que talons, semelles, etc., achetées par les ménages dans l'intention de réparer eux-mêmes leurs chaussures";;;"— polishes, creams and other shoe-cleaning articles (05.6.1.1)
— therapeutic footwear (06.1.3.3)
— game-specific footwear (ski boots, football boots, golfing shoes and other such footwear fitted with ice-skates, rollers, spikes, studs, etc.); shin guards, cricket pads and other such protective apparel for sport (09.2.2.1)";"— cirages, crèmes et autres articles de nettoyage des chaussures (05.6.1.1)
— chaussures thérapeutiques (06.1.3.3)
— chaussures spécifiques au jeu (chaussures de ski, de football, de golf et autres chaussures équipées de patins à glace, de rouleaux, de pointes, de crampons, etc.) ; les protège-tibias, les cricket pads et autres vêtements de protection pour le sport (09.2.2.1)";;;
282;Sous-classe;03.2.1;03.2.1.1;Footwear for men (SD);Chaussures pour hommes (SD);;;— all footwear for men either ready-to-wear or made-to-measure;— tous types de chaussures pour hommes, prêtes à porter ou fabriquées sur mesure;"— gaiters and similar articles
— shoelaces
— parts of footwear, such as heels, soles, etc., purchased by households with the intention of undertaking footwear repair themselves
— sports footwear suitable for everyday or leisure wear (shoes for jogging, cross-training, tennis, basketball, boating, etc.)";"— guêtres et articles similaires
— lacets
— parties de chaussures, telles que talons, semelles, etc., achetées par les ménages dans l'intention de réparer eux-mêmes leurs chaussures
— chaussures de sport destinées à être portées tous les jours ou pendant les loisirs (chaussures pour le jogging, l’entraînement croisé, le tennis, le basket-ball, le bateau, etc.)";"— cleaning, repair and hire of footwear (03.2.2.0)
— polishes, creams and other shoe-cleaning articles (05.6.1.1)
— therapeutic footwear (06.1.3.3)
— game-specific footwear (ski boots, football boots, golfing shoes and other such footwear fitted with ice skates, rollers, spikes, studs, etc.); and shin guards, cricket pads and other such protective sports apparel (09.2.2.1)";"— nettoyage, réparation et location de chaussures (03.2.2.0)
— cirages, crèmes et autres articles de nettoyage des chaussures (05.6.1.1)
— chaussures thérapeutiques (06.1.3.3)
— chaussures de sport (chaussures de ski, chaussures de football, chaussures de golf et autres chaussures équipées de patins à glace, de roulettes, de pointes, de crampons, etc.) ; et protège-tibias, cricket pads et autres vêtements de protection pour le sport (09.2.2.1)";;;
283;Poste;03.2.1.1;03.2.1.1.1;Formal footwear for men;Chaussures de ville pour homme;;;— low or high shoes, city shoes, leather city sandals ;— chaussures basses ou montantes, de ville, sandales de ville en cuir ;;;— other sandals (03.2.1.1.9);— autres sandales (03.2.1.1.9);;;
284;Poste;03.2.1.1;03.2.1.1.2;Sport footwear for men;Chaussures de sport pour homme;;;— sports footwear suitable for everyday or leisure use: jogging shoes, cross-country shoes, tennis shoes, basketball shoes, boat shoes, etc.;— chaussures de sport convenant à une utilisation quotidienne ou dans le cadre des loisirs : chaussures de jogging, de cross, de tennis, de Basket-ball, de bateau, etc.;;;"— game-specific footwear (ski boots, football boots, golfing shoes and other such footwear fitted with ice skates, rollers, spikes, studs, etc.); and shin guards, cricket pads and other such protective sports apparel (09.2.2.1)";— chaussures de sport spécifiques : chaussures de ski, chaussures de football, chaussures de golf et autres chaussures équipées de patins à glace, de roulettes, de pointes, de crampons, etc. (09.2.2.1);;;
285;Poste;03.2.1.1;03.2.1.1.9;Other footwear for men;Autres articles chaussant pour homme;;;— slippers, charentaises, indoor shoes, sandals;— pantoufles, charentaises, chaussures d'intérieur, sandales;;;"— leather sandals (03.2.1.1.1)
— therapeutic footwear (06.1.3.3)
";"— sandales en cuir (03.2.1.1.1)
— chaussures thérapeutiques (06.1.3.3)";;;
286;Sous-classe;03.2.1;03.2.1.2;Footwear for women (SD);Chaussures pour femmes (SD);;;— all footwear for women either ready-to-wear or made to measure;— tous types de chaussures pour femmes, prêtes à porter ou fabriquées sur mesure;"— gaiters and similar articles
— shoelaces
— parts of footwear, such as heels, soles, etc., purchased by households with the intention of undertaking footwear repair themselves
— sports footwear suitable for everyday or leisure wear (shoes for jogging, cross-training, tennis, basketball, boating, etc.)";"— guêtres et articles similaires
— lacets
— parties de chaussures, telles que talons, semelles, etc., achetées par les ménages dans l'intention de réparer eux-mêmes leurs chaussures
— chaussures de sport destinées à être portées tous les jours ou pendant les loisirs (chaussures pour le jogging, l'entraînement croisé, le tennis, le basket-ball, le bateau, etc.)";"— cleaning, repair and hire of footwear (03.2.2.0)
— polishes, creams and other shoe-cleaning articles (05.6.1.1)
— therapeutic footwear (06.1.3.3)
— game-specific footwear (ski boots, football boots, golfing shoes and other such footwear fitted with ice skates, rollers, spikes, studs, etc.); and shin guards, cricket pads and other such protective sports apparel (09.2.2.1)";"— nettoyage, réparation et location de chaussures (03.2.2.0)
— cirages, crèmes et autres articles de nettoyage des chaussures (05.6.1.1)
— chaussures thérapeutiques (06.1.3.3)
— chaussures de sport (chaussures de ski, chaussures de football, chaussures de golf et autres chaussures équipées de patins à glace, de roulettes, de pointes, de crampons, etc.) ; et protège-tibias, cricket pads et autres vêtements de protection pour le sport (09.2.2.1)";;;
287;Poste;03.2.1.2;03.2.1.2.1;Formal footwear for women;Chaussures de ville pour femme;;;— leather city sandals, pumps, shoes, city boots;— sandales de ville en cuir, escarpins, chaussures, bottes de ville;— gaiters, leggings and similar articles;— guêtres, jambières et articles similaires;— other sandals (03.2.1.2.9);— autres sandales (03.2.1.2.9);;;
