tri;type;parent;code;label_en;label_fr;note_generale_en;note_generale_fr;contenu_central_en;contenu_central_fr;contenu_additionnel_en;contenu_additionnel_fr;note_exclusion_en;note_exclusion_fr;;;
11;Poste;01.1.1.3;01.1.1.3.2;Pastries;Pâtisseries;;;— pastries (individual cakes, non-individual cakes), fresh, frozen and preserved;— pâtisserie fraîche, surgelée, de conservation (gâteaux individuels, gâteaux non individuels);;;;;;;
12;Poste;01.1.1.3;01.1.1.3.3;Viennoiseries;Viennoiseries;;;— bakery products (croissants, apple turnovers, pain au chocolat, etc.);— produits de boulangerie (croissants, chaussons aux pommes, pain au chocolat, etc..);;;;;;;
13;Poste;01.1.1.3;01.1.1.3.4;Biscuits and cakes;Biscuits et gâteaux;;;"— industrial bakery products, such as crispbread, rusks, toast and crackers
— sweet cookies (cookies)";"— produits de boulangerie industrielle, tels que pains croustillants, biscottes, pains grillés et crackers
— biscuits sucrés (cookies)";;;;;;;
14;Poste;01.1.1.3;01.1.1.3.9;Other bakery products;Autres produits de boulangerie;;;"— tortillas
— injera
— pizza bases without topping, whether precooked or not
— gingerbread and the like
— waffles and wafers
— ice cream cones";"— tortillas
— injera
— pâtes à pizza sans garniture, précuite ou non
— pain d’épices et assimilés
— gaufres et crêpes 
— cornets à glace";;;;;;;
15;Sous-classe;01.1.1;01.1.1.4;Breakfast cereals (ND);Céréales pour petit-déjeuner (ND);;;"— cornflakes, oatmeal and oat flakes, muesli, granola and puffed cereals including puffed rice cakes
— breakfast cereals with nuts or dried fruit";"— flocons de céréales, flocons d’avoine, muesli, granola et céréales soufflées y compris galettes de riz soufflé
— céréales pour petit déjeuner contenant des fruits secs ou fuits séchés";;;— popcorn (1.1.1.9);— popcorn (1.1.1.9);;;
16;Poste;01.1.1.4;01.1.1.4.1;Breakfast cereals;Céréales pour petit-déjeuner;;;"— cornflakes, oatmeal and oat flakes, muesli, granola and puffed cereals including puffed rice cakes
— breakfast cereals with nuts or dried fruit";"— flocons de céréales, flocons d’avoine, muesli, granola et céréales soufflées y compris galettes de riz soufflé
— céréales pour petit déjeuner contenant des fruits secs ou fuits séchés";;;— popcorn (1.1.1.9);— popcorn (1.1.1.9);;;
17;Sous-classe;01.1.1;01.1.1.5;Macaroni, noodles, couscous and similar pasta products (ND);Macaronis, nouilles, couscous et pâtes alimentaires similaires (ND);;;"— uncooked pasta, whether stuffed or not, and couscous
— uncooked dumplings, ravioli and similar products";"— pâtes alimentaires non cuites, farcies ou non, et couscous
— boulettes, raviolis et produits similaires non cuits";;;"— bulgur (01.1.1.1)
— prepared dishes containing stuffed pasta, and prepared couscous dishes (01.1.9.1)";"— boulgour (01.1.1.1)
— plats préparés à base de pâtes ou de couscous (01.1.9.1)";;;
18;Poste;01.1.1.5;01.1.1.5.1;Macaroni, noodles, couscous and similar pasta products;Macaronis, nouilles, couscous et pâtes alimentaires similaires;;;"— uncooked pasta, whether stuffed or not, and couscous
— uncooked dumplings, ravioli and similar products";"— pâtes alimentaires non cuites, farcies ou non, et couscous
— boulettes, raviolis et produits similaires non cuits";;;"— bulgur (01.1.1.1)
— prepared dishes containing stuffed pasta, and prepared couscous dishes (01.1.9.1)";"— boulgour (01.1.1.1)
— plats préparés à base de pâtes ou de couscous (01.1.9.1)";;;
19;Sous-classe;01.1.1;01.1.1.9;Other cereal and grain milled products (ND);Autres produits à base de céréales et de minoterie (ND);;;"— mixes and doughs for the preparation of bakery products
— popcorn
— granola bars
— malt and malt extract
— cereal chips and crisps";"— mélanges et pâtes pour la préparation de produits de boulangerie
— pop-corn
— barre de céréales
— malt et extrait de malt
— amidons et fécules de céréales";— seitan and other meat substitutes made from cereals;— seitan et autres substituts de viande fabriqués à partir de céréales;"— soy meat and soy burgers, veggie burgers, tofu, tempeh and other meat substitutes made from vegetables and nuts; and potato starch, tapioca, sago and other starches (01.1.7.9)
— ready-made cereal-based preparations, such as ready-made cereal-based soups (01.1.9.1)";"— viande et hamburgers de soja, hamburgers végétariens, tofu, tempeh et autres substituts de viande à base de légumes et de fruits à coque ; et fécule de pomme de terre, tapioca, sagou et autres amidons (01.1.7.9)
— plats préparés à base de céréales, tels que soupes à base de céréales (01.1.9.1)";;;
20;Poste;01.1.1.9;01.1.1.9.1;Other cereal and grain milled products;Autres produits à base de céréales et de minoterie;;;"— mixes and doughs for the preparation of bakery products
— popcorn
— granola bars
— malt and malt extract
— cereal chips and crisps";"— mélanges et pâtes pour la préparation de produits de boulangerie
— pop-corn
— barre de céréales
— malt et extrait de malt
— amidons et fécules de céréales";— seitan and other meat substitutes made from cereals;— seitan et autres substituts de viande fabriqués à partir de céréales;"— soy meat and soy burgers, veggie burgers, tofu, tempeh and other meat substitutes made from vegetables and nuts; and potato starch, tapioca, sago and other starches (01.1.7.9)
— ready-made cereal-based preparations, such as ready-made cereal-based soups (01.1.9.1)";"— viande et hamburgers de soja, hamburgers végétariens, tofu, tempeh et autres substituts de viande à base de légumes et de fruits à coque ; et fécule de pomme de terre, tapioca, sagou et autres amidons (01.1.7.9)
— plats préparés à base de céréales, tels que soupes à base de céréales (01.1.9.1)";;;
